"region","country","iso_code","year","cases_total","cases_imported","deaths_total","cfr"
"AFR0","Algeria","DZA",1971,1332,NA,110,0.0825825825825826
"AFR0","Algeria","DZA",1972,646,NA,71,0.109907120743034
"AFR0","Algeria","DZA",1973,605,NA,74,0.122314049586777
"AFR0","Algeria","DZA",1974,738,NA,50,0.0677506775067751
"AFR0","Algeria","DZA",1975,1165,NA,118,0.101287553648069
"AFR0","Algeria","DZA",1976,286,NA,30,0.104895104895105
"AFR0","Algeria","DZA",1977,262,NA,9,0.0343511450381679
"AFR0","Algeria","DZA",1978,220,NA,13,0.0590909090909091
"AFR0","Algeria","DZA",1979,2513,NA,94,0.0374054914444887
"AFR0","Algeria","DZA",1980,614,NA,18,0.0293159609120521
"AFR0","Algeria","DZA",1983,218,NA,9,0.0412844036697248
"AFR0","Algeria","DZA",1984,45,NA,0,0
"AFR0","Algeria","DZA",1987,1507,NA,0,0
"AFR0","Algeria","DZA",1988,699,NA,30,0.0429184549356223
"AFR0","Algeria","DZA",1989,393,NA,0,0
"AFR0","Algeria","DZA",1990,1299,NA,20,0.0153964588144727
"AFR0","Algeria","DZA",1992,69,NA,0,0
"AFR0","Algeria","DZA",1994,118,NA,4,0.0338983050847458
"AFR0","Algeria","DZA",2005,0,NA,0,NA
"AFR0","Algeria","DZA",2006,0,NA,0,NA
"AFR0","Angola","AGO",1971,1,NA,NA,NA
"AFR0","Angola","AGO",1972,268,NA,24,0.0895522388059701
"AFR0","Angola","AGO",1973,263,NA,9,0.0342205323193916
"AFR0","Angola","AGO",1974,934,NA,34,0.0364025695931477
"AFR0","Angola","AGO",1975,88,NA,4,0.0454545454545455
"AFR0","Angola","AGO",1977,726,NA,31,0.0426997245179063
"AFR0","Angola","AGO",1987,16222,NA,1403,0.086487486129947
"AFR0","Angola","AGO",1988,15500,NA,1542,0.0994838709677419
"AFR0","Angola","AGO",1989,17601,NA,925,0.0525538321686268
"AFR0","Angola","AGO",1990,9527,NA,809,0.0849165529547602
"AFR0","Angola","AGO",1991,8590,NA,582,0.0677532013969732
"AFR0","Angola","AGO",1992,3608,NA,184,0.0509977827050998
"AFR0","Angola","AGO",1994,3443,NA,187,0.0543130990415335
"AFR0","Angola","AGO",1995,3295,NA,248,0.0752655538694992
"AFR0","Angola","AGO",1996,1306,NA,42,0.0321592649310873
"AFR0","Angola","AGO",2005,0,NA,0,NA
"AFR0","Angola","AGO",2006,67257,NA,2722,0.0404716237715033
"AFR0","Angola","AGO",2007,18422,NA,513,0.0278471392899794
"AFR0","Angola","AGO",2008,10511,NA,243,0.0231186376177338
"AFR0","Angola","AGO",2009,2019,NA,88,0.0435859336305102
"AFR0","Angola","AGO",2010,1484,NA,30,0.0202156334231806
"AFR0","Angola","AGO",2011,1810,NA,110,0.0607734806629834
"AFR0","Angola","AGO",2012,1215,NA,98,0.0806584362139918
"AFR0","Angola","AGO",2013,6655,NA,86,0.0129226145755071
"AFR0","Angola","AGO",2014,213,NA,3,0.0140845070422535
"AFR0","Angola","AGO",2016,78,NA,3,0.0384615384615385
"AFR0","Angola","AGO",2017,828,NA,43,0.0519323671497585
"AFR0","Angola","AGO",2018,1546,NA,25,0.0161707632600259
"AFR0","Benin","BEN",1970,175,NA,37,0.211428571428571
"AFR0","Benin","BEN",1971,2133,NA,274,0.128457571495546
"AFR0","Benin","BEN",1972,250,NA,29,0.116
"AFR0","Benin","BEN",1973,3,NA,2,0.666666666666667
"AFR0","Benin","BEN",1974,73,NA,4,0.0547945205479452
"AFR0","Benin","BEN",1975,45,NA,1,0.0222222222222222
"AFR0","Benin","BEN",1976,146,NA,14,0.0958904109589041
"AFR0","Benin","BEN",1977,2,NA,0,0
"AFR0","Benin","BEN",1978,27,NA,0,0
"AFR0","Benin","BEN",1980,3,NA,0,0
"AFR0","Benin","BEN",1981,2,NA,0,0
"AFR0","Benin","BEN",1982,3,NA,0,0
"AFR0","Benin","BEN",1983,1,NA,0,0
"AFR0","Benin","BEN",1984,1,NA,0,0
"AFR0","Benin","BEN",1986,243,NA,13,0.0534979423868313
"AFR0","Benin","BEN",1991,7474,NA,259,0.0346534653465347
"AFR0","Benin","BEN",1992,413,NA,17,0.0411622276029056
"AFR0","Benin","BEN",1993,10,NA,2,0.2
"AFR0","Benin","BEN",1994,187,NA,20,0.106951871657754
"AFR0","Benin","BEN",1995,203,NA,12,0.0591133004926108
"AFR0","Benin","BEN",1996,6190,NA,203,0.032794830371567
"AFR0","Benin","BEN",1997,796,NA,16,0.0201005025125628
"AFR0","Benin","BEN",1998,206,NA,1,0.00485436893203883
"AFR0","Benin","BEN",1999,855,NA,25,0.0292397660818713
"AFR0","Benin","BEN",2000,468,NA,11,0.0235042735042735
"AFR0","Benin","BEN",2001,3943,NA,71,0.0180065939639868
"AFR0","Benin","BEN",2002,270,NA,13,0.0481481481481481
"AFR0","Benin","BEN",2003,434,NA,11,0.0253456221198157
"AFR0","Benin","BEN",2004,642,NA,9,0.014018691588785
"AFR0","Benin","BEN",2005,749,NA,11,0.0146862483311081
"AFR0","Benin","BEN",2006,91,NA,1,0.010989010989011
"AFR0","Benin","BEN",2008,985,NA,5,0.0050761421319797
"AFR0","Benin","BEN",2009,74,NA,1,0.0135135135135135
"AFR0","Benin","BEN",2010,983,NA,8,0.0081383519837233
"AFR0","Benin","BEN",2011,755,NA,4,0.00529801324503311
"AFR0","Benin","BEN",2012,625,NA,3,0.0048
"AFR0","Benin","BEN",2013,528,NA,6,0.0113636363636364
"AFR0","Benin","BEN",2014,832,NA,12,0.0144230769230769
"AFR0","Benin","BEN",2016,761,NA,13,0.0170827858081472
"AFR0","Benin","BEN",2017,11,NA,0,0
"AFR0","Benin","BEN",2019,50,NA,0,0
"AFR0","Benin","BEN",2020,232,NA,6,0.0258620689655172
"AFR0","Benin","BEN",2021,1298,NA,23,0.0177195685670262
"AFR0","Botswana","BWA",2005,0,NA,0,NA
"AFR0","Botswana","BWA",2006,0,NA,0,NA
"AFR0","Botswana","BWA",2008,8,NA,1,0.125
"AFR0","Botswana","BWA",2009,15,NA,2,0.133333333333333
"AFR0","Burkina Faso","BFA",1970,1,NA,1,1
"AFR0","Burkina Faso","BFA",1971,1761,NA,495,0.281090289608177
"AFR0","Burkina Faso","BFA",1972,1,NA,0,0
"AFR0","Burkina Faso","BFA",1973,1118,NA,249,0.222719141323792
"AFR0","Burkina Faso","BFA",1974,632,NA,66,0.104430379746835
"AFR0","Burkina Faso","BFA",1975,3,NA,3,1
"AFR0","Burkina Faso","BFA",1978,1,NA,0,0
"AFR0","Burkina Faso","BFA",1984,2191,NA,117,0.0534002738475582
"AFR0","Burkina Faso","BFA",1985,1149,NA,156,0.135770234986945
