"country","iso_code","year","cases_total","deaths_total"
"Algeria","DZA",1971,1332,110
"Algeria","DZA",1972,646,71
"Algeria","DZA",1973,605,74
"Algeria","DZA",1974,738,50
"Algeria","DZA",1975,1165,118
"Algeria","DZA",1976,286,30
"Algeria","DZA",1977,262,9
"Algeria","DZA",1978,220,13
"Algeria","DZA",1979,2513,94
"Algeria","DZA",1980,614,18
"Algeria","DZA",1983,218,9
"Algeria","DZA",1984,45,0
"Algeria","DZA",1987,1507,0
"Algeria","DZA",1988,699,30
"Algeria","DZA",1989,393,0
"Algeria","DZA",1990,1299,20
"Algeria","DZA",1992,69,0
"Algeria","DZA",1994,118,4
"Algeria","DZA",2005,0,0
"Algeria","DZA",2006,0,0
"Angola","AGO",1971,1,NA
"Angola","AGO",1972,268,24
"Angola","AGO",1973,263,9
"Angola","AGO",1974,934,34
"Angola","AGO",1975,88,4
"Angola","AGO",1977,726,31
"Angola","AGO",1987,16222,1403
"Angola","AGO",1988,15500,1542
"Angola","AGO",1989,17601,925
"Angola","AGO",1990,9527,809
"Angola","AGO",1991,8590,582
"Angola","AGO",1992,3608,184
"Angola","AGO",1994,3443,187
"Angola","AGO",1995,3295,248
"Angola","AGO",1996,1306,42
"Angola","AGO",2005,0,0
"Angola","AGO",2006,67257,2722
"Angola","AGO",2007,18422,513
"Angola","AGO",2008,10511,243
"Angola","AGO",2009,2019,88
"Angola","AGO",2010,1484,30
"Angola","AGO",2011,1810,110
"Angola","AGO",2012,1215,98
"Angola","AGO",2013,6655,86
"Angola","AGO",2014,213,3
"Angola","AGO",2016,78,3
"Angola","AGO",2017,828,43
"Angola","AGO",2018,1546,25
"Benin","BEN",1970,175,37
"Benin","BEN",1971,2133,274
"Benin","BEN",1972,250,29
"Benin","BEN",1973,3,2
"Benin","BEN",1974,73,4
"Benin","BEN",1975,45,1
"Benin","BEN",1976,146,14
"Benin","BEN",1977,2,0
"Benin","BEN",1978,27,0
"Benin","BEN",1980,3,0
"Benin","BEN",1981,2,0
"Benin","BEN",1982,3,0
"Benin","BEN",1983,1,0
"Benin","BEN",1984,1,0
"Benin","BEN",1986,243,13
"Benin","BEN",1991,7474,259
"Benin","BEN",1992,413,17
"Benin","BEN",1993,10,2
"Benin","BEN",1994,187,20
"Benin","BEN",1995,203,12
"Benin","BEN",1996,6190,203
"Benin","BEN",1997,796,16
"Benin","BEN",1998,206,1
"Benin","BEN",1999,855,25
"Benin","BEN",2000,468,11
"Benin","BEN",2001,3943,71
"Benin","BEN",2002,270,13
"Benin","BEN",2003,434,11
"Benin","BEN",2004,642,9
"Benin","BEN",2005,749,11
"Benin","BEN",2006,91,1
"Benin","BEN",2008,985,5
"Benin","BEN",2009,74,1
"Benin","BEN",2010,983,8
"Benin","BEN",2011,755,4
"Benin","BEN",2012,625,3
"Benin","BEN",2013,528,6
"Benin","BEN",2014,832,12
"Benin","BEN",2016,761,13
"Benin","BEN",2017,11,0
"Benin","BEN",2019,50,0
"Benin","BEN",2020,232,6
"Benin","BEN",2021,1298,23
"Botswana","BWA",2005,0,0
"Botswana","BWA",2006,0,0
"Botswana","BWA",2008,8,1
"Botswana","BWA",2009,15,2
"Burkina Faso","BFA",1970,1,1
"Burkina Faso","BFA",1971,1761,495
"Burkina Faso","BFA",1972,1,0
"Burkina Faso","BFA",1973,1118,249
"Burkina Faso","BFA",1974,632,66
"Burkina Faso","BFA",1975,3,3
"Burkina Faso","BFA",1978,1,0
"Burkina Faso","BFA",1984,2191,117
"Burkina Faso","BFA",1985,1149,156
