"adm0_name","who_region","iso_3_code","first_epiwk","last_epiwk","case_total","death_total"
"AFGHANISTAN","Eastern Mediterranean Region","AFG",2024-01-08,2024-08-12,114230,56
"BANGLADESH","South-East Asia Region","BGD",2024-01-15,2024-08-12,138,0
"BURUNDI","African Region","BDI",2024-01-01,2024-08-12,737,3
"CAMEROON","African Region","CMR",2024-01-01,2024-04-22,49,0
"COMOROS","African Region","COM",2024-02-05,2024-07-22,10342,149
"DEMOCRATIC REPUBLIC OF THE CONGO","African Region","COD",2024-01-07,2024-07-28,20964,274
"ETHIOPIA","African Region","ETH",2024-01-01,2024-08-05,22889,205
"HAITI","Region of the Americas","HTI",2024-01-01,2024-01-22,2672,13
"INDIA","South-East Asia Region","IND",2024-01-01,2024-06-10,5072,14
"KENYA","African Region","KEN",2024-01-15,2024-07-08,432,4
"MALAWI","African Region","MWI",2024-01-01,2024-06-03,252,1
"MAYOTTE","European Region","MYT",2024-04-22,2024-07-29,221,2
"MOZAMBIQUE","African Region","MOZ",2024-01-01,2024-07-15,8132,18
"MYANMAR","South-East Asia Region","MMR",2024-07-01,2024-07-15,1141,1
"NEPAL","South-East Asia Region","NPL",2024-07-22,2024-08-19,58,0
"NIGERIA","African Region","NGA",2024-01-22,2024-08-12,6428,185
"PAKISTAN","Eastern Mediterranean Region","PAK",2024-01-01,2024-07-29,44651,0
"SOMALIA","Eastern Mediterranean Region","SOM",2024-01-01,2024-08-12,18218,138
"SOUTH AFRICA","African Region","ZAF",2024-01-29,2024-04-01,11,0
"SUDAN","Eastern Mediterranean Region","SDN",2024-01-01,2024-07-22,2413,77
"SYRIAN ARAB REPUBLIC","Eastern Mediterranean Region","SYR",2024-01-01,2024-07-22,10420,0
"TOGO","African Region","TGO",2024-07-22,2024-08-12,5,1
"UGANDA","African Region","UGA",2024-01-29,2024-05-13,89,5
"UNITED REPUBLIC OF TANZANIA","African Region","TZA",2024-01-01,2024-08-12,4331,73
"YEMEN","Eastern Mediterranean Region","YEM",2024-01-01,2024-08-05,28615,149
"ZAMBIA","African Region","ZMB",2024-01-01,2024-06-24,20219,637
"ZIMBABWE","African Region","ZWE",2024-01-01,2024-06-24,20033,399
